UniProt	Genes of a reaction from All instances of Reactions in Prochlorococcus marinus pastoris CCMP1986	Matches	EC-Number	Accession-1	Accession-2	Gene products (polypeptides and RNAs only)
Q7V267	acs	coenzyme A + acetate + ATP  <-->  acetyl-CoA + AMP + diphosphate // ATP + isovalerate + coenzyme A  ->  AMP + isovaleryl-CoA + diphosphate // ATP + isobutanoate + coenzyme A  ->  AMP + isobutanoyl-CoA + diphosphate // ATP + 2-methylbutanoate + coenzyme A  ->  AMP + 2-methylbutanoyl-CoA + diphosphate	EC-6.2.1.1	PMM0619	TX50_RS03290	acetate--CoA ligase
Q7V1M1	acsF	magnesium-protoporphyrin IX 13-monomethyl ester + NADPH + oxygen + H+  ->  131-hydroxy-magnesium-protoporphyrin IX 13-monomethyl ester + NADP+ + H2O // magnesium-protoporphyrin IX 13-monomethyl ester + 3 NADPH + 2 H+ + 3 oxygen  ->  3,8-divinyl protochlorophyllide a + 3 NADP+ + 5 H2O // 131-oxo-magnesium-protoporphyrin IX 13-monomethyl ester + NADPH + oxygen  ->  3,8-divinyl protochlorophyllide a + NADP+ + 2 H2O // 131-hydroxy-magnesium-protoporphyrin IX 13-monomethyl ester + NADPH + H+ + oxygen  ->  131-oxo-magnesium-protoporphyrin IX 13-monomethyl ester + NADP+ + 2 H2O	EC-1.14.13.81	PMM0844	TX50_RS04515	magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase
Q7UZW3	adk	ATP + AMP  <-->  2 ADP	EC-2.7.4.3	PMM1539	TX50_RS08245	adenylate kinase
Q7V2E8	adoA	octadecanal + 2 NADPH + oxygen + H+  ->  heptadecane + formate + 2 NADP+ + H2O // a long-chain fatty aldehyde + 2 NADPH + oxygen + H+  ->  a long-chain alkane + formate + 2 NADP+ + H2O	EC-4.1.99.5	PMM0532	TX50_RS02850	aldehyde-deformylating oxygenase
Q7UZN3	ahcY	S-adenosyl-L-homocysteine + H2O  ->  L-homocysteine + adenosine	EC-3.3.1.1	PMM1625	TX50_RS08690	adenosylhomocysteinase
Q7V3N0	alaS	tRNAAla + L-alanine + ATP  ->  L-alanyl-[tRNAAla] + AMP + diphosphate	EC-6.1.1.7	PMM0044	TX50_RS00235	alanine--tRNA ligase
Q7TU32	alr	L-alanine  <-->  D-alanine	EC-5.1.1.1	PMM1527	TX50_RS08190	alanine racemase
Q7V330	amtB	ammonium[out] + H+[out]  ->  ammonium[in] + H+[in]		PMM0263	TX50_RS01365	ammonia permease
Q7V0X5	apt	AMP + diphosphate  <-  adenine + 5-phospho-alpha-D-ribose 1-diphosphate // 5-amino-4-imidazolecarboxamide phosphoribosyltransferase	EC-2.4.2.7	PMM1122	TX50_RS06015	adenine phosphoribosyltransferase
Q7TUD1	argB	N-acetyl-L-glutamate + ATP  ->  N-acetylglutamyl-phosphate + ADP // an [amino-group carrier protein]-C-terminal-gamma-(L-glutamyl)-L-glutamate + ATP  ->  an [amino-group carrier protein]-C-terminal-gamma-(5-phospho-L-glutamyl)-L-glutamate + ADP	EC-2.7.2.8 // EC-2.7.2	PMM0499	TX50_RS02685	acetylglutamate kinase
Q7V1H9	argC	N-acetyl-L-glutamate 5-semialdehyde + NADP+ + phosphate  <-  N-acetylglutamyl-phosphate + NADPH + H+ // an [amino-group carrier protein]-C-terminal-gamma-(L-glutamate 5-semialdehyde-2-yl)-L-glutamate + NADP+ + phosphate  <-  an [amino-group carrier protein]-C-terminal-gamma-(5-phospho-L-glutamyl)-L-glutamate + NADPH + H+	EC-1.2.1.38 // EC-1.2.1.106	PMM0892	TX50_RS04765	N-acetyl-gamma-glutamyl-phosphate reductase
Q7V0G0	argD	N-acetyl-L-ornithine + 2-oxoglutarate  <-->  L-glutamate + N-acetyl-L-glutamate 5-semialdehyde // L-ornithine + a 2-oxo carboxylate  =  a proteinogenic amino acid + L-glutamate-5-semialdehyde // Ornithine--oxo-glutarate aminotransferase	EC-2.6.1.11 // EC-2.6.1.13	PMM1301	TX50_RS06980	ornithine/acetylornithine aminotransferase
Q7V0J3	argF	L-ornithine + carbamoyl phosphate  =  L-citrulline + phosphate + H+ // L-ornithine + carbamoyl phosphate  <-->  L-citrulline + phosphate + H+	EC-2.1.3.3	PMM1263	TX50_RS06790	ornithine carbamoyltransferase
Q7UZG0	argG	O-ureido-L-homoserine + L-aspartate + ATP  ->  canavaninosuccinate + AMP + diphosphate + H+ // L-aspartate + L-citrulline + ATP  ->  L-arginino-succinate + AMP + diphosphate + H+	EC-6.3.4.5	PMM1707	TX50_RS09110	argininosuccinate synthase
Q7TUI1	argH	L-arginino-succinate  ->  L-arginine + fumarate // canavaninosuccinate  =  L-canavanine + fumarate	EC-4.3.2.1	PMM0012	TX50_RS00075	argininosuccinate lyase
Q7V3M5	argJ	L-methionine + acetyl-CoA  ->  N-acetyl-L-methionine + coenzyme A + H+ // L-glutamate + N-acetyl-L-ornithine  ->  N-acetyl-L-glutamate + L-ornithine // L-glutamate + acetyl-CoA  ->  N-acetyl-L-glutamate + coenzyme A + H+	EC-2.3.1.1 // EC-2.3.1.35	PMM0050	TX50_RS00265	bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ
Q7V396	argS	tRNAArg + L-arginine + ATP  ->  L-arginyl-[tRNAArg] + AMP + diphosphate	EC-6.1.1.19	PMM0187	TX50_RS00970	arginine--tRNA ligase
Q7V272	aroA	shikimate 3-phosphate + phosphoenolpyruvate  ->  5-enolpyruvoyl-shikimate 3-phosphate + phosphate	EC-2.5.1.19	PMM0613	TX50_RS03260	3-phosphoshikimate 1-carboxyvinyltransferase
Q7V209	aroB	3-deoxy-D-arabino-heptulosonate 7-phosphate  ->  3-deoxy-D-arabino-heptulopyranuronate 7-phosphate // 3-deoxy-D-arabino-heptulosonate 7-phosphate  ->  3-dehydroquinate + phosphate // 3-deoxy-D-arabino-heptulopyranuronate 7-phosphate  ->  3-dehydroquinate + phosphate	EC-4.2.3.4	PMM0682	TX50_RS03625	3-dehydroquinate synthase
Q7V364	aroC	5-enolpyruvoyl-shikimate 3-phosphate  ->  chorismate + phosphate	EC-4.2.3.5	PMM0224	TX50_RS01155	chorismate synthase
Q7UZG2	aroE	shikimate + NADP+  <-  3-dehydroshikimate + NADPH + H+	EC-1.1.1.25	PMM1705	TX50_RS09100	shikimate dehydrogenase
Q7UZG8	aroF	phosphoenolpyruvate + D-erythrose 4-phosphate + H2O  ->  3-deoxy-D-arabino-heptulosonate 7-phosphate + phosphate	EC-2.5.1.54	PMM1699	TX50_RS09070	3-deoxy-7-phosphoheptulonate synthase
Q7V0S3	aroH	chorismate  ->  prephenate	EC-5.4.99.5	PMM1181	TX50_RS06375	chorismate mutase
Q7V3G8	aroK	shikimate + ATP  ->  shikimate 3-phosphate + ADP + H+	EC-2.7.1.71	PMM0107	TX50_RS00570	shikimate kinase
Q7V2S9	aroQ	3-dehydroquinate  ->  3-dehydroshikimate + H2O	EC-4.2.1.10	PMM0387	TX50_RS02085	type II 3-dehydroquinate dehydratase
Q7V1X9	arsB	arsenous acid[periplasm]  <-  arsenous acid[cytosol]		PMM0716	TX50_RS03825	arsenite efflux transporter
Q7V1Y3	arsJ	1-arseno-3-phosphoglycerate[in]  ->  1-arseno-3-phosphoglycerate[out]		PMM0712	TX50_RS03800	organoarsenical effux MFS transporter ArsJ
Q7TU21	asd	L-aspartate 4-semialdehyde + NADP+ + phosphate  <-->  L-aspartyl-4-phosphate + NADPH + H+	EC-1.2.1.11	PMM1654	TX50_RS08840	aspartate-semialdehyde dehydrogenase
Q7V217	aspC	L-tyrosine + 2-oxoglutarate  <-->  3-(4-hydroxyphenyl)pyruvate + L-glutamate // L-tryptophan + 2-oxoglutarate  <-->  (indol-3-yl)pyruvate + L-glutamate // L-phenylalanine + 2-oxoglutarate  <-->  3-phenyl-2-oxopropanoate + L-glutamate // L-cysteate + 2-oxoglutarate  =  3-sulfopyruvate + L-glutamate // L-aspartate + 2-oxoglutarate  <-->  oxaloacetate + L-glutamate // L-aspartate + 2-oxoglutarate  <-->  oxaloacetate + L-glutamate	EC-2.6.1.1 // EC-2.6.1.57 // EC-2.6.1.5 // EC-2.6.1.27	PMM0674	TX50_RS03585	aspartate aminotransferase
Q7UZH8	aspS	tRNAasp + L-aspartate + ATP  ->  L-aspartyl-[tRNAasp] + AMP + diphosphate	EC-6.1.1.12	PMM1688	TX50_RS09015	aspartate--tRNA ligase
Q7V031	atp1	ATP + H2O + 3 H+[in]  <-->  ADP + phosphate + 4 H+[out]	EC-7.1.2.2	PMM1457	TX50_RS07835	ATP synthase subunit I
Q7V037	atpA	ATP + H2O + 3 H+[in]  <-->  ADP + phosphate + 4 H+[out]	EC-7.1.2.2	PMM1451	TX50_RS07805	ATP synthase alpha chain
Q7V032	atpB	ATP + H2O + 3 H+[in]  <-->  ADP + phosphate + 4 H+[out]	EC-7.1.2.2	PMM1456	TX50_RS07830	ATP synthase chain a
Q7TU42	atpC	ATP + H2O + 3 H+[in]  <-->  ADP + phosphate + 4 H+[out]	EC-7.1.2.2	PMM1439	TX50_RS07750	ATP synthase epsilon subunit
Q7V049	atpD	ATP + H2O + 3 H+[in]  <-->  ADP + phosphate + 4 H+[out]	EC-7.1.2.2	PMM1438	TX50_RS07745	ATP synthase beta subunit
Q7V033	atpE	ATP + H2O + 3 H+[in]  <-->  ADP + phosphate + 4 H+[out]	EC-7.1.2.2	PMM1455	TX50_RS07825	ATP synthase subunit c
Q7V035	atpF	ATP + H2O + 3 H+[in]  <-->  ADP + phosphate + 4 H+[out]	EC-7.1.2.2	PMM1453	TX50_RS07815	ATP synthase chain b
Q7V034	atpF2	ATP + H2O + 3 H+[in]  <-->  ADP + phosphate + 4 H+[out]	EC-7.1.2.2	PMM1454	TX50_RS07820	ATP synthase chain b'
Q7V038	atpG	ATP + H2O + 3 H+[in]  <-->  ADP + phosphate + 4 H+[out]	EC-7.1.2.2	PMM1450	TX50_RS07800	ATP synthase gamma chain
Q7V036	atpH	ATP + H2O + 3 H+[in]  <-->  ADP + phosphate + 4 H+[out]	EC-7.1.2.2	PMM1452	TX50_RS07810	ATP synthase delta chain
Q7V019	bioA	(8S)-8-amino-7-oxononanoate + S-adenosyl-L-methionine  <-->  S-adenosyl-4-methylsulfanyl-2-oxobutanoate + (7R,8S)-diaminononanoate	EC-2.6.1.62	PMM1472	TX50_RS07910	adenosylmethionine--8-amino-7-oxononanoate transaminase
Q7V101	bioB	sulfurated [sulfur carrier] + dethiobiotin + 2 reduced [2Fe-2S] ferredoxin + S-adenosyl-L-methionine + H+  ->  unsulfurated [sulfur carrier] + 9-mercaptodethiobiotin + 5'-deoxyadenosine + L-methionine + 2 oxidized [2Fe-2S] ferredoxin // sulfurated [sulfur carrier] + dethiobiotin + 2 reduced [2Fe-2S] ferredoxin + 2 S-adenosyl-L-methionine  ->  unsulfurated [sulfur carrier] + 2 5'-deoxyadenosine + 2 L-methionine + 2 oxidized [2Fe-2S] ferredoxin + biotin // 9-mercaptodethiobiotin + S-adenosyl-L-methionine  ->  5'-deoxyadenosine + L-methionine + biotin + H+	EC-2.8.1.6	PMM1093	TX50_RS05865	biotin synthase BioB
Q7V022	bioF	pimeloyl-[acp] + L-alanine + H+  ->  (8S)-8-amino-7-oxononanoate + CO2 + acyl-carrier protein // pimeloyl-CoA + L-alanine + H+  ->  CO2 + coenzyme A + (8S)-8-amino-7-oxononanoate	EC-2.3.1.47	PMM1468	TX50_RS07890	8-amino-7-oxononanoate synthase
Q7TUD4	BirA	ATP + biotin + H+  ->  biotinyl-5'-adenylate + diphosphate // a [biotin carboxyl-carrier protein]-L-lysine + ATP + biotin  ->  AMP + a [biotin carboxyl-carrier protein]-N6-biotinyl-L-lysine + diphosphate + H+	EC-6.3.4.15	PMM0433	TX50_RS02335	biotin--[acetyl-CoA-carboxylase] ligase
Q7V1P9	cao	chlorophyllide a2 + NADPH + oxygen + H+  ->  71-hydroxychlorophyllide a2 + NADP+ + H2O // chlorophyllide a2 + 2 NADPH + 2 oxygen + 2 H+  ->  chlorophyllide b2 + 2 NADP+ + 3 H2O // chlorophyllide a + NADPH + oxygen + H+  ->  71-hydroxychlorophyllide a + NADP+ + H2O // chlorophyllide a + 2 NADPH + 2 oxygen + 2 H+  ->  chlorophyllide b + 2 NADP+ + 3 H2O // 71-hydroxychlorophyllide a2 + NADPH + oxygen + H+  ->  71-dihydroxychlorophyllide a2 + NADP+ + H2O // 71-hydroxychlorophyllide a + NADPH + oxygen + H+  ->  71-dihydroxychlorophyllide a + NADP+ + H2O // 71-dihydroxychlorophyllide a2  ->  chlorophyllide b2 + H2O // 71-dihydroxychlorophyllide a  ->  chlorophyllide b + H2O	EC-1.14.13.122	PMM0808	TX50_RS04310	chlorophyllide <i>a</i> oxygenase
Q7V1C7	carA	hydrogencarbonate + ATP  ->  carboxyphosphate + ADP // carboxyphosphate + ammonium  ->  carbamate + phosphate + 2 H+ // carbamate + ATP  <-->  carbamoyl phosphate + ADP // 2 ATP + L-glutamine + hydrogencarbonate + H2O  ->  L-glutamate + carbamoyl phosphate + 2 ADP + phosphate + 2 H+ // 2 ATP + hydrogencarbonate + ammonium  ->  2 ADP + carbamoyl phosphate + phosphate + 2 H+	EC-6.3.5.5 // EC-6.3.4.16	PMM0951	TX50_RS05060	Carbamoylphosphate synthase small subunit
Q7V1N8	carB	hydrogencarbonate + ATP  ->  carboxyphosphate + ADP // carboxyphosphate + ammonia  ->  carbamate + phosphate + H+ // carbamate + ATP  <-->  carbamoyl phosphate + ADP // 2 ATP + L-glutamine + hydrogencarbonate + H2O  ->  L-glutamate + carbamoyl phosphate + 2 ADP + phosphate + 2 H+ // 2 ATP + hydrogencarbonate + ammonia  ->  2 ADP + carbamoyl phosphate + phosphate + H+	EC-6.3.5.5 // EC-6.3.4.16	PMM0825	TX50_RS04420	Carbamoylphosphate synthase large subunit
Q7V1S4	cbbA	D-sedoheptulose 1-phosphate  <-->  glycerone phosphate + D-erythrose // D-sedoheptulose 1,7-bisphosphate  <-->  glycerone phosphate + D-erythrose 4-phosphate // beta-D-fructose 1,6-bisphosphate  <-->  glycerone phosphate + D-glyceraldehyde 3-phosphate // beta-D-fructofuranose 1-phosphate  <-->  glycerone phosphate + D-glyceraldehyde	EC-4.1.2.13	PMM0781	TX50_RS04170	fructose-bisphosphate aldolase class II
Q7V1S0	cbbP	D-ribulose 5-phosphate + ATP  ->  D-ribulose-1,5-bisphosphate + ADP + H+	EC-2.7.1.19	PMM0785	TX50_RS04190	phosphoribulokinase
Q7V3N8	cbiD	cobalt-precorrin-5B + S-adenosyl-L-methionine  ->  cobalt-precorrin-6A + S-adenosyl-L-homocysteine	EC-2.1.1.195	PMM0036	TX50_RS00195	cobalt-precorrin-5B (C(1))-methyltransferase
Q7V242	cbiX	sirohydrochlorin + Fe2+  ->  siroheme + 2 H+	EC-4.99.1.4	PMM0646	TX50_RS03425	sirohydrochlorin chelatase
Q7V2D6	chlB	3,8-divinyl protochlorophyllide a + 2 reduced ferredoxin [iron-sulfur] cluster + 2 ATP + 2 H2O  ->  chlorophyllide a2 + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 ADP + 2 phosphate	EC-1.3.7.7	PMM0544	TX50_RS02910	ChlB
Q7TUF9	chlD	ATP + protoporphyrin IX + Mg2+ + H2O  ->  Mg-protoporphyrin + ADP + phosphate + 3 H+	EC-6.6.1.1	PMM0288	TX50_RS01495	Protoporphyrin IX Mg-chelatase subunit ChlD
Q7V2P4	chlG	chlorophyllide b2 + phytyl diphosphate + 2 H+  ->  chlorophyll b2 + diphosphate // chlorophyllide a2 + phytyl diphosphate + H+  <-->  chlorophyll a2 + diphosphate	EC-2.5.1.62	PMM0428	TX50_RS02310	chlorophyll <i>a</i><sub>2</sub> synthase
Q7V1N2	chlH	ATP + protoporphyrin IX + Mg2+ + H2O  ->  Mg-protoporphyrin + ADP + phosphate + 3 H+	EC-6.6.1.1	PMM0831	TX50_RS04450	Protoporphyrin IX Mg-chelatase subunit
Q7TU82	chlI	ATP + protoporphyrin IX + Mg2+ + H2O  ->  Mg-protoporphyrin + ADP + phosphate + 3 H+	EC-6.6.1.1	PMM1055	TX50_RS05670	Protoporphyrin IX Mg-chelatase subunit ChlI
Q7V2D7	chlL	3,8-divinyl protochlorophyllide a + 2 reduced ferredoxin [iron-sulfur] cluster + 2 ATP + 2 H2O  ->  chlorophyllide a2 + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 ADP + 2 phosphate	EC-1.3.7.7	PMM0543	TX50_RS02905	ChlL
Q7V3B4	chlM	Mg-protoporphyrin + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + magnesium-protoporphyrin IX 13-monomethyl ester	EC-2.1.1.11	PMM0168	TX50_RS00875	magnesium-protoporphyrin IX methyltransferase
Q7V2D5	chlN	3,8-divinyl protochlorophyllide a + 2 reduced ferredoxin [iron-sulfur] cluster + 2 ATP + 2 H2O  ->  chlorophyllide a2 + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 ADP + 2 phosphate	EC-1.3.7.7	PMM0545	TX50_RS02915	ChlN
Q7V1U5	chlP	tetrahydrogeranylgeranyl diphosphate + NADP+  <-  dihydrogeranylgeranyl diphosphate + NADPH + H+ // phytyl diphosphate + NADP+  <-  tetrahydrogeranylgeranyl diphosphate + NADPH + H+ // phytyl diphosphate + 3 NADP+  <-  geranylgeranyl diphosphate + 3 NADPH + 3 H+ // dihydrogeranylgeranyl diphosphate + NADP+  <-  geranylgeranyl diphosphate + NADPH + H+	EC-1.3.1.83	PMM0760	TX50_RS04065	Geranylgeranyl hydrogenase ChlP
Q7V1Y4	chrA	chromate[cytosol]  ->  chromate[periplasm]		PMM0711	TX50_RS03795	chromate efflux transporter
Q7TU39	cioD	CO2 + (7R,8S)-diaminononanoate + ATP  ->  dethiobiotin + ADP + phosphate + 3 H+ // (7R,8S)-diaminononanoate + CO2  ->  (7R,8S)-8-amino-7-(carboxyamino)nonanoate + 2 H+ // (7R,8S)-8-amino-7-(carboxyamino)nonanoate + ATP  ->  dethiobiotin + ADP + phosphate + H+	EC-6.3.3.3	PMM1471	TX50_RS07905	dethiobiotin synthetase
Q7V106	clpC	protein + ATP + 2 H2O  ->  2 peptide + ADP + phosphate + 3 H+	EC-3.4.21.92	PMM1088	TX50_RS05840	Clp protease chaperone/ATPase component ClpC
Q7V1W0	clpP1	protein + ATP + 2 H2O  ->  2 peptide + ADP + phosphate + 3 H+	EC-3.4.21.92	PMM0742	TX50_RS03980	ClpP1 serine protease
Q7UZK7	clpP2	protein + ATP + 2 H2O  ->  2 peptide + ADP + phosphate + 3 H+	EC-3.4.21.92	PMM1656	TX50_RS08850	ClpP2 serine protease
Q7V0F1	clpP3	protein + ATP + 2 H2O  ->  2 peptide + ADP + phosphate + 3 H+	EC-3.4.21.92	PMM1314	TX50_RS07050	ClpP3 serine protease
Q7V0F2	clpR	protein + ATP + 2 H2O  ->  2 peptide + ADP + phosphate + 3 H+	EC-3.4.21.92	PMM1313	TX50_RS07045	ClpR
Q7UZK6	clpX	protein + ATP + 2 H2O  ->  2 peptide + ADP + phosphate + 3 H+	EC-3.4.21.92	PMM1657	TX50_RS08855	Clp protease chaperone/ATPase component ClpX
Q7V359	coaBC	(R)-4'-phosphopantothenoyl-L-cysteine + H+  ->  CO2 + 4'-phosphopantetheine // (R)-4'-phosphopantothenoyl-cytidylate + L-cysteine  ->  (R)-4'-phosphopantothenoyl-L-cysteine + CMP + 2 H+ // (R)-4'-phosphopantothenate + L-cysteine + CTP  ->  (R)-4'-phosphopantothenoyl-L-cysteine + CMP + diphosphate + H+ // (R)-4'-phosphopantothenate + CTP + H+  ->  (R)-4'-phosphopantothenoyl-cytidylate + diphosphate	EC-4.1.1.36 // EC-6.3.2.5	PMM0229	TX50_RS01180	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC
Q7V1I7	coaD	ATP + 4'-phosphopantetheine + H+  ->  3'-dephospho-CoA + diphosphate	EC-2.7.7.3	PMM0884	TX50_RS04725	pantetheine-phosphate adenylyltransferase
Q7V3M6	coaE	3'-dephospho-CoA + ATP  ->  coenzyme A + ADP + H+	EC-2.7.1.24	PMM0049	TX50_RS00260	dephospho-CoA kinase
Q7TU80	cobB	hydrogenobyrinate + 2 L-glutamine + 2 ATP + 2 H2O  ->  2 L-glutamate + hydrogenobyrinate a,c-diamide + 2 ADP + 2 phosphate + 2 H+ // cobyrinate + L-glutamine + ATP + H2O  ->  cob(II)yrinate c-monoamide + L-glutamate + ADP + phosphate + H+ // cobyrinate + 2 L-glutamine + 2 ATP + 2 H2O  ->  cob(II)yrinate a,c-diamide + 2 L-glutamate + 2 ADP + 2 phosphate + 2 H+ // cob(II)yrinate c-monoamide + L-glutamine + ATP + H2O  ->  cob(II)yrinate a,c-diamide + L-glutamate + ADP + phosphate + H+	EC-6.3.5.9 // EC-6.3.5.11	PMM1072	TX50_RS05755	Cobyrinic acid a,c-diamide synthase
Q7V0E9	cobD	ATP + adenosylcobyrate + (R)-1-aminopropan-2-ol  ->  ADP + adenosylcobinamide + phosphate + H+ // ATP + adenosylcobyrate + (R)-1-amino-2-propanol O-2-phosphate  ->  ADP + adenosyl-cobinamide phosphate + phosphate + H+	EC-6.3.1.10	PMM1316	TX50_RS07060	adenosylcobinamide-phosphate synthase
Q7TU22	cobH	precorrin-8x + H+  ->  hydrogenobyrinate	EC-5.4.99.61	PMM1646	TX50_RS08800	precorrin-8X methylmutase
Q7TUE0	cobI	precorrin-2 + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + precorrin-3A + H+	EC-2.1.1.130	PMM0389	TX50_RS02095	Precorrin-2 methylase
Q7TU33	cobJ	precorrin-3B + S-adenosyl-L-methionine  ->  precorrin-4 + S-adenosyl-L-homocysteine + 2 H+	EC-2.1.1.131	PMM1525	TX50_RS08175	precorrin-3B C(17)-methyltransferase
Q7V0I9	cobL	precorrin-7 + S-adenosyl-L-methionine  ->  precorrin-8x + S-adenosyl-L-homocysteine + 2 H+ // precorrin-6B + S-adenosyl-L-methionine + H+  ->  precorrin-7 + S-adenosyl-L-homocysteine + CO2 // precorrin-6B + 2 S-adenosyl-L-methionine  ->  precorrin-8x + 2 S-adenosyl-L-homocysteine + CO2 + H+ // cobalt-precorrin-7 + S-adenosyl-L-methionine  ->  cobalt-precorrin-8 + S-adenosyl-L-homocysteine	EC-2.1.1.132 // EC-2.1.1.289	PMM1268	TX50_RS06815	bifunctional cobalt-precorrin-7 (C(5))-methyltransferase/cobalt-precorrin-6B (C(15))-methyltransferase
Q7TUD2	cobM	precorrin-4 + S-adenosyl-L-methionine  ->  precorrin-5 + S-adenosyl-L-homocysteine + H+	EC-2.1.1.133	PMM0459	TX50_RS02470	precorrin-4 C(11)-methyltransferase
Q7V1J2	cobN	hydrogenobyrinate a,c-diamide + Co2+ + ATP + H2O  ->  cob(II)yrinate a,c-diamide + ADP + phosphate + 3 H+	EC-6.6.1.2	PMM0879	TX50_RS04700	cobaltochelatase
